timestamp,log_type,message
0.2998216,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
2.37103,Log,Clicked cube number 0!
3.10692,Log,Clicked cube number 1!
4.591682,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
5.581042,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
7.988328,Log,Clicked cube number 0!
8.548436,Log,Clicked cube number 1!
9.110984,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
10.10192,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
13.19691,Log,Clicked cube number 0!
13.59881,Log,Clicked cube number 1!
14.48277,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
15.4811,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
19.39096,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
20.38044,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
23.07704,Log,Clicked cube number 2!
24.8795,Warning,An item in the Tracked Objects field of the UXF session if empty (null)!
